tag,program name,comments
,base-devel,basic development tools for installing stuff from AUR
,yay,AUR install helper
,brave
,make
,pkg-config
,neovim
,gcc
,stow
,xorg-xinit
,xorg
,sxhkd
,dunst
,zsh
,python-pip
P,virtualenvwrapper
,fd
,fzf
,neofetch
,xclip
,tree
,dunst
,zathura
,screenkey
,zsh-syntax-highlighting
,feh,image viewer
A,lf-git,file manager
#A,libxft-bgra,viewing emojis in st dwm and dmenu
,noto-fonts-emoji,emoji font
A,spotifyd,a daemon for streaming spotify data
A,spotify-tui,run spotify from the terminal
,pandoc,document converter
G,https://github.com/ytdl-org/youtube-dl.git,
A,mpv-git,media player
